customer_id,first_name,last_name,order_id,order_date,order_country
C-1030,Evelyn,Robinson,ORD-149,2026-02-05,USA
C-1071,Wyatt,Bailey,ORD-190,2025-12-26,USA
C-1047,Luke,Baker,ORD-166,2026-01-19,USA
C-1029,Michael,Martinez,ORD-148,2026-02-06,USA
C-1056,Hanna,Campbell,ORD-175,2026-01-10,USA
C-1049,Owen,Nelson,ORD-168,2026-01-17,USA
C-1075,Levi,Cox,ORD-194,2025-12-22,USA
C-1019,Ava,Taylor,ORD-138,2026-02-16,USA
C-1042,Ella,Lopez,ORD-161,2026-01-24,USA
C-1061,Henry,Collins,ORD-180,2026-01-05,USA
C-1058,Maya,Parker,ORD-177,2026-01-08,USA
C-1035,Daniel,Walker,ORD-154,2026-01-31,USA
C-1069,David,Bell,ORD-188,2025-12-28,USA
C-1059,Isaac,Evans,ORD-178,2026-01-07,USA
C-1073,Julian,Cooper,ORD-192,2025-12-24,USA
C-1038,Elizabeth,Young,ORD-157,2026-01-28,USA
C-1057,John,Doe,ORD-176,2026-01-09,USA
C-1033,Alexander,Lewis,ORD-152,2026-02-02,USA
C-1068,Hazel,Morgan,ORD-187,2025-12-29,USA
C-1027,Mason,Thompson,ORD-146,2026-02-08,USA
C-1021,Isabella,Moore,ORD-140,2026-02-14,USA
C-1043,Sebastian,Hill,ORD-162,2026-01-23,USA
C-1078,Aubree,Torres,ORD-197,2025-12-19,USA
C-8821,valeria,Kuteva,ORD-101,2026-03-25,USA
C-1053,Carter,Roberts,ORD-172,2026-01-13,USA
C-1055,Jayden,Phillips,ORD-174,2026-01-11,USA
C-1037,Jacob,Allen,ORD-156,2026-01-29,USA
C-1074,Leilani,Richardson,ORD-193,2025-12-23,USA
C-1076,Rylee,Howard,ORD-195,2025-12-21,USA
C-1052,Victoria,Perez,ORD-171,2026-01-14,USA
C-1048,Madison,Gonzalez,ORD-167,2026-01-18,USA
C-1077,Nathan,Ward,ORD-196,2025-12-20,USA
C-1020,Ethan,Thomas,ORD-139,2026-02-15,USA
C-1072,Savannah,Rivera,ORD-191,2025-12-25,USA
C-1026,Charlotte,Martin,ORD-145,2026-02-09,USA
C-1024,Sophia,White,ORD-143,2026-02-11,USA
C-1044,Avery,Scott,ORD-163,2026-01-22,USA
C-1036,Emily,Hall,ORD-155,2026-01-30,USA
C-1045,Jack,Green,ORD-164,2026-01-21,USA
C-1032,Abigail,Rodriguez,ORD-151,2026-02-03,USA
C-1023,James,Jackson,ORD-142,2026-02-12,USA
C-8821,valeria,kuteva,ORD-141,2026-03-27,USA
C-1018,Lucas,Anderson,ORD-137,2026-02-17,USA
C-1034,Harper,Lee,ORD-153,2026-02-01,USA
C-1046,Scarlett,Adams,ORD-165,2026-01-20,USA
C-1051,Gabriel,Mitchell,ORD-170,2026-01-15,USA
C-1063,Joseph,Sanchez,ORD-182,2026-01-03,USA
C-1017,Mia,Martinez,ORD-136,2026-02-18,USA
C-1065,Samuel,Rogers,ORD-184,2026-01-01,USA
C-1040,Mila,King,ORD-159,2026-01-26,USA
C-1039,Logan,Hernandez,ORD-158,2026-01-27,USA
C-1070,Luna,Murphy,ORD-189,2025-12-27,USA
C-1050,Layla,Carter,ORD-169,2026-01-16,USA
C-1060,Zoe,Edwards,ORD-179,2026-01-06,USA
C-1025,Benjamin,Harris,ORD-144,2026-02-10,USA
C-1054,Aria,Turner,ORD-173,2026-01-12,USA
C-1031,William,Clark,ORD-150,2026-02-04,USA
C-1028,Amelia,Garcia,ORD-147,2026-02-07,USA
C-1041,Jackson,Wright,ORD-160,2026-01-25,USA
C-1064,Aurora,Morris,ORD-183,2026-01-02,USA
C-1004,oliver,twist,ORD-123,2026-03-03,United Kingdom
C-4492,JOHN,DOE,ORD-102,2026-03-24,United States
